#,Phase,Task,Status,Done On,Notes
1.1,Phase 1 - Foundations,Backend project setup (Node.js + TypeScript + Express),Done,2026-04-29,tsx watch dev server
1.2,Phase 1 - Foundations,Frontend project setup (React + Vite + TypeScript),Done,2026-04-29,Vite dev server with proxy to backend
1.3,Phase 1 - Foundations,Implement URL ingestion endpoint (POST /api/urls),Done,2026-04-29,Add and remove URLs via REST
1.4,Phase 1 - Foundations,Implement status checker (HTTP GET to URL),Done,2026-04-29,Captures HTTP status code
1.5,Phase 1 - Foundations,Group URLs by status family (2xx/3xx/4xx/5xx/error),Done,2026-04-29,classify() pure function
1.6,Phase 1 - Foundations,Frontend dashboard with grouped count cards,Done,2026-04-30,React + CSS color-coded
1.7,Phase 1 - Foundations,Real-time refresh (frontend polls every 3s),Done,2026-04-30,setInterval + useEffect
1.8,Phase 1 - Foundations,JSON file persistence with atomic writes,Done,2026-04-30,data/db.json with .tmp + rename
2.1,Phase 1.5 - Production polish,Project segregation (multiple projects + sidebar),Done,2026-05-05,Each project = monitored service
2.2,Phase 1.5 - Production polish,Per-project API key vault,Done,2026-05-05,Configurable header name + prefix
2.3,Phase 1.5 - Production polish,Auth header injection for monitored URLs,Done,2026-05-05,Bearer / x-api-key / Basic supported
2.4,Phase 1.5 - Production polish,Per-URL configurable check interval,Done,2026-05-05,Default 5 min; range 1-1440
2.5,Phase 1.5 - Production polish,5-phase HTTP latency tracking,Done,2026-05-05,DNS / TCP / TLS / TTFB / Download via raw https
2.6,Phase 1.5 - Production polish,Description field per URL,Done,2026-05-05,Free-text endpoint label
2.7,Phase 1.5 - Production polish,Error reason mapping (human-readable),Done,2026-05-05,DNS fail / cert expired / 401 / 503 etc
2.8,Phase 1.5 - Production polish,Slack webhook integration for failure alerts,Done,2026-05-05,Auto-fire on transition to failing
2.9,Phase 1.5 - Production polish,Latency bar visualization (per-check breakdown),Done,2026-05-05,Color-coded segments per phase
3.1,Phase 1.6 - UX refresh,Modal/dialog system (replace browser prompts),Done,2026-05-07,Reusable Modal + ConfirmDialog
3.2,Phase 1.6 - UX refresh,Toast notifications (success / error feedback),Done,2026-05-07,Auto-dismiss after 3.5s
3.3,Phase 1.6 - UX refresh,Design token system (spacing / type / radius / motion),Done,2026-05-07,CSS custom properties
3.4,Phase 1.6 - UX refresh,Polished sidebar with project avatars + health dots,Done,2026-05-07,Color-hashed initials
3.5,Phase 1.6 - UX refresh,Animated transitions and hover states,Done,2026-05-07,Cards lift; modals slide-up
4.1,Phase 1.7 - Storage upgrade,Migrate from JSON file to SQLite (node:sqlite),Done,2026-05-08,Built-in - no native compile
4.2,Phase 1.7 - Storage upgrade,Schema design (projects/keys/urls/checks tables),Done,2026-05-08,Foreign keys + indexes
4.3,Phase 1.7 - Storage upgrade,Auto-migrate existing db.json to SQLite,Done,2026-05-08,Old file backed up as .migrated.bak
4.4,Phase 1.7 - Storage upgrade,Persistent check history (every check stored),Done,2026-05-08,checks table with timestamps
4.5,Phase 1.7 - Storage upgrade,7-day retention policy with auto-pruning,Done,2026-05-08,Hourly cleanup job
4.6,Phase 1.7 - Storage upgrade,Extend retention to 365 days for long-range views,Done,2026-05-12,Was 7 days; now keeps a year
5.1,Phase 1.8 - History UI,Sparkline component (24h latency trend),Done,2026-05-08,Pure SVG no library
5.2,Phase 1.8 - History UI,Status strip (24h commit-graph style),Done,2026-05-08,Replaced by Activity Timeline (5.7)
5.3,Phase 1.8 - History UI,Failure rate chip (color-coded by severity),Done,2026-05-08,Green <1% / Amber 1-5% / Red >5%
